Número de documentos(preguntas) del corpus : 997
Número de palabras del corpus: 8455
Palabra: 405 Frec: 0 LogProb: -14.243397155418775
Palabra: 408 Frec: 0 LogProb: -14.243397155418775
Palabra: 409 Frec: 0 LogProb: -14.243397155418775
Palabra: 42s02 Frec: 0 LogProb: -14.243397155418775
Palabra: 443 Frec: 0 LogProb: -14.243397155418775
Palabra: 45 Frec: 0 LogProb: -14.243397155418775
Palabra: 46 Frec: 0 LogProb: -14.243397155418775
Palabra: 47 Frec: 0 LogProb: -14.243397155418775
Palabra: 4795e Frec: 0 LogProb: -14.243397155418775
Palabra: 4gb Frec: 0 LogProb: -14.243397155418775
Palabra: 4th Frec: 0 LogProb: -14.243397155418775
Palabra: 4x Frec: 0 LogProb: -14.243397155418775
Palabra: 5 Frec: 6 LogProb: -11.436042233361169
Palabra: 50 Frec: 0 LogProb: -14.243397155418775
Palabra: 500 Frec: 0 LogProb: -14.243397155418775
Palabra: 501 Frec: 0 LogProb: -14.243397155418775
Palabra: 502 Frec: 0 LogProb: -14.243397155418775
Palabra: 503 Frec: 0 LogProb: -14.243397155418775
Palabra: 50727 Frec: 0 LogProb: -14.243397155418775
Palabra: 55 Frec: 0 LogProb: -14.243397155418775
Palabra: 563 Frec: 0 LogProb: -14.243397155418775
Palabra: 5g Frec: 1 LogProb: -13.243397155418773
Palabra: 5pm Frec: 0 LogProb: -14.243397155418775
Palabra: 6 Frec: 1 LogProb: -13.243397155418773
Palabra: 60 Frec: 0 LogProb: -14.243397155418775
Palabra: 63 Frec: 0 LogProb: -14.243397155418775
Palabra: 64 Frec: 0 LogProb: -14.243397155418775
Palabra: 643853 Frec: 0 LogProb: -14.243397155418775
Palabra: 64bit Frec: 0 LogProb: -14.243397155418775
Palabra: 64bits Frec: 0 LogProb: -14.243397155418775
Palabra: 65536 Frec: 0 LogProb: -14.243397155418775
Palabra: 6i Frec: 0 LogProb: -14.243397155418775
Palabra: 6x Frec: 0 LogProb: -14.243397155418775
Palabra: 6x6 Frec: 0 LogProb: -14.243397155418775
Palabra: 7 Frec: 16 LogProb: -10.155934314168434
